,DateUpdated,AgeGroups,Total cases,Confirmed cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
176,6/16/2021,30-39,54170,49150.0,12244.0,43,41.0,2.0
177,6/16/2021,40-49,48649,44625.0,11241.0,151,119.0,32.0
178,6/16/2021,50-59,52011,48131.0,10014.0,463,391.0,72.0
179,6/16/2021,60-69,34440,32250.0,7817.0,1092,941.0,151.0
180,6/16/2021,70-79,17679,16625.0,6547.0,1852,1566.0,286.0
181,6/16/2021,80+,16558,15098.0,10027.0,4650,3720.0,930.0
182,6/17/2021,0-9,21450,20079.0,5698.0,1,1.0,0.0
184,6/17/2021,20-29,61078,54744.0,13124.0,10,10.0,0.0
185,6/17/2021,30-39,54179,49155.0,12246.0,43,41.0,2.0
186,6/17/2021,40-49,48651,44628.0,11242.0,151,119.0,32.0
187,6/17/2021,50-59,52013,48132.0,10014.0,463,391.0,72.0
188,6/17/2021,60-69,34444,32251.0,7818.0,1092,941.0,151.0
189,6/17/2021,70-79,17680,16626.0,6548.0,1852,1566.0,286.0
190,6/17/2021,80+,16558,15097.0,10027.0,4651,3720.0,931.0
191,6/18/2021,0-9,21461,20089.0,5701.0,1,1.0,0.0
193,6/18/2021,20-29,61089,54751.0,13126.0,10,10.0,0.0
194,6/18/2021,30-39,54190,49161.0,12248.0,43,41.0,2.0
195,6/18/2021,40-49,48662,44638.0,11244.0,152,120.0,32.0
196,6/18/2021,50-59,52017,48137.0,10015.0,463,391.0,72.0
197,6/18/2021,60-69,34451,32255.0,7820.0,1092,941.0,151.0
198,6/18/2021,70-79,17680,16626.0,6548.0,1852,1566.0,286.0
199,6/18/2021,80+,16559,15097.0,10027.0,4654,3722.0,932.0
200,9/8/2021,20-29,66955,59397.0,14387.0,11,11.0,0.0
201,9/8/2021,30-39,59199,53228.0,13381.0,46,44.0,2.0
202,9/8/2021,40-49,52449,47791.0,12119.0,158,126.0,32.0
203,9/8/2021,50-59,55356,50906.0,10658.0,488,411.0,77.0
204,9/8/2021,60-69,36646,34139.0,8318.0,1111,961.0,150.0
205,9/8/2021,70-79,18892,17681.0,6997.0,1882,1596.0,286.0
206,9/8/2021,80+,17263,15682.0,10453.0,4714,3774.0,940.0
207,12/8/2021,0-9,31479,29302.0,8362.0,1,1.0,0.0
209,12/8/2021,20-29,75355,66930.0,16192.0,17,16.0,1.0
210,12/8/2021,30-39,68382,61595.0,15456.0,61,53.0,8.0
211,12/8/2021,40-49,60068,54799.0,13880.0,181,145.0,36.0
212,12/8/2021,50-59,62383,57323.0,12011.0,528,443.0,85.0
213,12/8/2021,60-69,42065,39074.0,9548.0,1215,1045.0,170.0
214,12/8/2021,70-79,21387,19939.0,7921.0,2003,1689.0,314.0
215,12/8/2021,80+,18809,17044.0,11390.0,4936,3932.0,1004.0
216,12/9/2021,0-9,31781,29563.0,8442.0,1,1.0,0.0
218,12/9/2021,20-29,75807,67238.0,16289.0,17,16.0,1.0
219,12/9/2021,30-39,68834,61921.0,15558.0,61,53.0,8.0
220,12/9/2021,40-49,60428,55057.0,13963.0,181,145.0,36.0
221,12/9/2021,50-59,62730,57583.0,12078.0,528,443.0,85.0
222,12/9/2021,60-69,42290,39243.0,9599.0,1215,1045.0,170.0
223,12/9/2021,70-79,21465,19999.0,7949.0,2003,1689.0,314.0
224,12/9/2021,80+,18850,17085.0,11414.0,4936,3933.0,1003.0
225,12/10/2021,0-9,32254,30012.0,8568.0,1,1.0,0.0
227,12/10/2021,20-29,76313,67714.0,16398.0,19,16.0,3.0
228,12/10/2021,30-39,69341,62392.0,15673.0,63,54.0,9.0
229,12/10/2021,40-49,60871,55474.0,14065.0,181,145.0,36.0
230,12/10/2021,50-59,63152,57982.0,12159.0,529,444.0,85.0
231,12/10/2021,60-69,42560,39502.0,9660.0,1220,1049.0,171.0
232,12/10/2021,70-79,21566,20094.0,7987.0,2009,1695.0,314.0
233,12/10/2021,80+,18916,17127.0,11454.0,4946,3943.0,1003.0
234,12/13/2021,0-9,33071,30426.0,8785.0,1,1.0,0.0
236,12/13/2021,20-29,77750,68166.0,16706.0,19,16.0,3.0
237,12/13/2021,30-39,70745,62911.0,15990.0,63,54.0,9.0
238,12/13/2021,40-49,61967,55879.0,14318.0,181,145.0,36.0
239,12/13/2021,50-59,64200,58375.0,12361.0,530,445.0,85.0
240,12/13/2021,60-69,43185,39739.0,9802.0,1219,1048.0,171.0
241,12/13/2021,70-79,21793,20185.0,8071.0,2008,1694.0,314.0
242,12/13/2021,80+,19003,17184.0,11507.0,4947,3944.0,1003.0
243,12/14/2021,0-9,33444,30738.0,8884.0,1,1.0,0.0
245,12/14/2021,20-29,78209,68504.0,16805.0,19,16.0,3.0
246,12/14/2021,30-39,71280,63333.0,16111.0,63,54.0,9.0
247,12/14/2021,40-49,62392,56215.0,14417.0,182,146.0,36.0
248,12/14/2021,50-59,64603,58692.0,12439.0,532,447.0,85.0
249,12/14/2021,60-69,43393,39916.0,9849.0,1223,1049.0,174.0
250,12/14/2021,70-79,21881,20248.0,8103.0,2017,1700.0,317.0
251,12/14/2021,80+,19057,17228.0,11540.0,4959,3953.0,1006.0
252,12/15/2021,0-9,33692,30936.0,8950.0,1,1.0,0.0
254,12/15/2021,20-29,78461,68724.0,16859.0,19,16.0,3.0
255,12/15/2021,30-39,71582,63620.0,16179.0,63,54.0,9.0
256,6/21/2021,0-9,21472,20099.0,5704.0,1,1.0,0.0
258,6/21/2021,20-29,61103,54762.0,13129.0,10,10.0,0.0
259,6/21/2021,30-39,54219,49190.0,12255.0,43,41.0,2.0
260,6/21/2021,40-49,48665,44638.0,11245.0,152,120.0,32.0
261,6/21/2021,50-59,52029,48146.0,10018.0,463,391.0,72.0
262,6/21/2021,60-69,34451,32256.0,7820.0,1091,941.0,150.0
263,6/21/2021,70-79,17682,16629.0,6548.0,1852,1566.0,286.0
264,6/21/2021,80+,16560,15098.0,10028.0,4654,3722.0,932.0
265,6/22/2021,0-9,21479,20107.0,5706.0,1,1.0,0.0
267,6/22/2021,20-29,61114,54768.0,13132.0,10,10.0,0.0
268,6/22/2021,30-39,54224,49190.0,12256.0,43,41.0,2.0
269,6/22/2021,40-49,48669,44642.0,11246.0,152,120.0,32.0
270,6/22/2021,50-59,52032,48147.0,10018.0,463,391.0,72.0
271,6/22/2021,60-69,34455,32259.0,7821.0,1092,942.0,150.0
272,6/22/2021,70-79,17682,16629.0,6548.0,1852,1566.0,286.0
273,6/22/2021,80+,16561,15099.0,10028.0,4655,3723.0,932.0
274,6/23/2021,0-9,21482,20110.0,5706.0,1,1.0,0.0
276,6/23/2021,20-29,61124,54772.0,13134.0,10,10.0,0.0
277,6/23/2021,30-39,54229,49195.0,12257.0,43,41.0,2.0
278,6/23/2021,40-49,48678,44647.0,11248.0,152,120.0,32.0
279,6/23/2021,50-59,52036,48151.0,10019.0,463,391.0,72.0
280,6/23/2021,60-69,34455,32259.0,7821.0,1092,942.0,150.0
281,6/23/2021,70-79,17685,16631.0,6550.0,1852,1566.0,286.0
282,6/23/2021,80+,16560,15099.0,10028.0,4655,3723.0,932.0
283,6/24/2021,0-9,21499,20124.0,5711.0,1,1.0,0.0
285,6/24/2021,20-29,61160,54806.0,13142.0,10,10.0,0.0
286,6/24/2021,30-39,54251,49218.0,12262.0,43,41.0,2.0
287,6/24/2021,40-49,48694,44660.0,11251.0,152,120.0,32.0
288,6/24/2021,50-59,52053,48164.0,10022.0,463,392.0,71.0
289,6/24/2021,60-69,34470,32273.0,7824.0,1092,942.0,150.0
290,6/24/2021,70-79,17691,16640.0,6552.0,1853,1568.0,285.0
291,6/24/2021,80+,16566,15104.0,10031.0,4657,3725.0,932.0
292,6/25/2021,0-9,21508,20132.0,5713.0,1,1.0,0.0
294,6/25/2021,20-29,61179,54829.0,13146.0,10,10.0,0.0
295,6/25/2021,30-39,54276,49243.0,12268.0,43,41.0,2.0
296,6/25/2021,40-49,48714,44680.0,11256.0,152,120.0,32.0
297,6/25/2021,50-59,52064,48177.0,10024.0,463,392.0,71.0
298,6/25/2021,60-69,34480,32284.0,7826.0,1092,942.0,150.0
299,6/25/2021,70-79,17695,16645.0,6553.0,1853,1568.0,285.0
300,6/25/2021,80+,16570,15111.0,10034.0,4658,3728.0,930.0
301,6/28/2021,0-9,21522,20142.0,5717.0,1,1.0,0.0
303,6/28/2021,20-29,61208,54856.0,13152.0,10,10.0,0.0
304,6/28/2021,30-39,54305,49270.0,12274.0,43,41.0,2.0
305,6/28/2021,40-49,48728,44693.0,11259.0,152,120.0,32.0
306,6/28/2021,50-59,52084,48196.0,10028.0,463,392.0,71.0
307,6/28/2021,60-69,34489,32292.0,7828.0,1093,942.0,151.0
308,6/28/2021,70-79,17701,16650.0,6555.0,1853,1568.0,285.0
309,6/28/2021,80+,16574,15116.0,10036.0,4658,3728.0,930.0
310,6/29/2021,0-9,21525,20144.0,5718.0,1,1.0,0.0
312,6/29/2021,20-29,61213,54859.0,13153.0,10,10.0,0.0
313,6/29/2021,30-39,54310,49273.0,12275.0,43,41.0,2.0
314,6/29/2021,40-49,48732,44697.0,11260.0,152,120.0,32.0
315,6/29/2021,50-59,52091,48201.0,10029.0,463,392.0,71.0
316,6/29/2021,60-69,34492,32295.0,7829.0,1093,942.0,151.0
317,6/29/2021,70-79,17704,16653.0,6557.0,1853,1568.0,285.0
318,6/29/2021,80+,16578,15120.0,10039.0,4658,3728.0,930.0
319,6/30/2021,0-9,21530,20148.0,5719.0,1,1.0,0.0
321,6/30/2021,20-29,61219,54861.0,13154.0,10,10.0,0.0
322,6/30/2021,30-39,54317,49278.0,12277.0,43,41.0,2.0
323,6/30/2021,40-49,48737,44702.0,11261.0,152,120.0,32.0
324,6/30/2021,50-59,52098,48205.0,10031.0,464,393.0,71.0
325,6/30/2021,60-69,34498,32297.0,7830.0,1093,942.0,151.0
326,6/30/2021,70-79,17706,16654.0,6557.0,1853,1568.0,285.0
327,6/30/2021,80+,16579,15120.0,10039.0,4659,3728.0,931.0
328,9/9/2021,0-9,24771,23016.0,6580.0,1,1.0,0.0
330,9/9/2021,20-29,67043,59454.0,14406.0,11,11.0,0.0
331,9/9/2021,30-39,59290,53302.0,13401.0,46,44.0,2.0
332,9/9/2021,40-49,52516,47840.0,12135.0,158,126.0,32.0
333,9/9/2021,50-59,55437,50962.0,10674.0,488,411.0,77.0
334,9/9/2021,60-69,36690,34167.0,8328.0,1112,961.0,151.0
335,9/9/2021,70-79,18932,17713.0,7011.0,1882,1596.0,286.0
336,9/9/2021,80+,17286,15696.0,10467.0,4714,3774.0,940.0
337,9/10/2021,0-9,24854,23096.0,6602.0,1,1.0,0.0
339,9/10/2021,20-29,67151,59543.0,14429.0,11,11.0,0.0
340,9/10/2021,30-39,59380,53376.0,13421.0,46,44.0,2.0
341,9/10/2021,40-49,52584,47898.0,12150.0,158,126.0,32.0
342,9/10/2021,50-59,55501,51023.0,10686.0,490,412.0,78.0
343,9/10/2021,60-69,36750,34223.0,8341.0,1113,962.0,151.0
344,9/10/2021,70-79,18951,17729.0,7018.0,1884,1598.0,286.0
345,9/10/2021,80+,17301,15708.0,10477.0,4717,3775.0,942.0
346,9/13/2021,0-9,25008,23225.0,6643.0,1,1.0,0.0
348,9/13/2021,20-29,67394,59736.0,14481.0,11,11.0,0.0
349,9/13/2021,30-39,59611,53570.0,13474.0,46,44.0,2.0
350,9/13/2021,40-49,52745,48030.0,12187.0,158,126.0,32.0
351,9/13/2021,50-59,55645,51142.0,10714.0,490,412.0,78.0
352,9/13/2021,60-69,36852,34312.0,8365.0,1113,962.0,151.0
353,9/13/2021,70-79,19010,17777.0,7040.0,1884,1598.0,286.0
354,9/13/2021,80+,17338,15746.0,10499.0,4717,3775.0,942.0
355,9/14/2021,0-9,25119,23329.0,6673.0,1,1.0,0.0
357,9/14/2021,20-29,67585,59918.0,14522.0,11,11.0,0.0
358,9/14/2021,30-39,59781,53719.0,13512.0,46,44.0,2.0
359,9/14/2021,40-49,52866,48149.0,12215.0,159,127.0,32.0
360,9/14/2021,50-59,55762,51242.0,10736.0,492,414.0,78.0
361,9/14/2021,60-69,36958,34396.0,8389.0,1118,965.0,153.0
362,9/14/2021,70-79,19054,17809.0,7057.0,1889,1601.0,288.0
363,9/14/2021,80+,17361,15770.0,10513.0,4726,3783.0,943.0
364,9/15/2021,0-9,25165,23367.0,6685.0,1,1.0,0.0
366,9/15/2021,20-29,67630,59952.0,14532.0,11,11.0,0.0
367,9/15/2021,30-39,59860,53786.0,13530.0,46,44.0,2.0
368,9/15/2021,40-49,52914,48190.0,12227.0,159,127.0,32.0
369,9/15/2021,50-59,55805,51279.0,10745.0,492,414.0,78.0
370,9/15/2021,60-69,36997,34430.0,8398.0,1118,965.0,153.0
371,9/15/2021,70-79,19073,17826.0,7064.0,1889,1601.0,288.0
372,9/15/2021,80+,17367,15774.0,10516.0,4727,3783.0,944.0
373,9/16/2021,0-9,25297,23456.0,6720.0,1,1.0,0.0
375,9/16/2021,20-29,67828,60070.0,14575.0,11,11.0,0.0
376,9/16/2021,30-39,60028,53903.0,13568.0,46,44.0,2.0
